Rule	Text
2.0.1a	An ability is a property, not an object. However, activated abilities have the object properties cost and type, for the purposes of rules and effects.
2.0.2.	The properties of a card are defined by the information printed on the official Flesh and Blood card. If a property is not printed on the official Flesh and Blood card, the card it represents does not have that property.
2.0.2a	If an errata has been published for a given card, the properties of that card are defined by the corrections in that errata. (See http://fabtcg.com/errata)
2.0.3.	A numeric property is a property that has a numeric value. The value of some numeric properties can be modified by effects and/or counters to produce a modified value. The copyable value of the numeric property is typically the value that the object starts its existence with.
2.0.3a	An effect that modifies the value of a numeric property does not modify the base value of that property unless otherwise specified by the effect. Example: An effect that specifies an object to “gain”, “get”, “has”, “have”, “lose”, “plus”, or “minus” a property-related value, modifies the value of the property but does not change the base value unless it specifically uses the term “base”.
2.0.3b	A numeric property is considered to have increased/decreased if the modified value is greater/less than its previous value, or copyable value if there is no previous value. Example: Korshem, Crossroads of the Elements has the text “[...], if [...] no card or token controlled by a hero has had {p} or {d} increased this turn, destroy Korshem, Crossroads of the Elements.”. If a private card is played and an effect that increases power is applies to it as it is played, the property is considered to have increased because it had no previous power value (due to being private) and its current modified power is greater than its printed power; therefore it will satisfy Korshem’s condition.
2.0.3c	A numeric property can not have a negative base or modified value. If one or more effects would set or reduce the base or modified value of a numeric property to be less than zero, instead they set or reduce it to zero.
2.0.3d	A +1 or −1 property-related counter on an object, modifies the value of the property but does not change the base value.
2.0.4.	An object is considered to have gained a property, or part of a property, if it did not have that property/part before, but currently does. An object is considered to have lost a property, or part of a property, if it had that property/part but currently does not.
2.0.5.	The source of a property is the object that property is an attribute of.
2.1.	Color Strip
2.1.1.	Color Strip is a visual representation of the printed pitch of a card.
2.1.2.	The color strip of a card is typically located at the top of a card. The printed pitch of a card determines the color strip of the card. Cards with a printed pitch of 1, 2, and 3, typically have a color strip of red, yellow, and blue respectively. A card with no printed pitch typically does not have a color strip. • A card with a red color strip is considered red for the purposes of rules and effects. • A card with a yellow color strip is considered yellow for the purposes of rules and effects. • A card with a blue color strip is considered blue for the purposes of rules and effects.
2.1.3.	If the base pitch or pitch of a card is modified, it does not modify the color strip of the card.
2.2.	Cost
2.2.1.	Cost is a numeric property of a card or ability, which determines the starting resource asset-cost to play the card or activate the ability. (See Rule 5.1.6)
2.2.2.	The printed cost of a card is typically expressed within a resource point symbol located in the top right corner of the card. The printed cost defines the base cost of a card. If a card does not have a printed cost, it does not have the cost property (0 is a valid printed cost).
2.2.2a	If the printed value is expressed as two or more undefined symbols and/or numeric values, they are additive for determining the base cost of a card. Example: Spark of Genius has the cost property with the printed value of “XX”, which determines the base cost as X + X for any value of X.
2.2.3.	The printed cost of an activated ability is expressed as {r} symbols as part of the description of the ability, where the number of {r} symbols dictates the printed cost. If there are no resource symbols, then the printed cost is 0. The printed cost defines the base resource cost of the ability. (See Rule 5.2.1)
2.2.4.	The cost property of an object cannot be modified.
2.2.4a	An effect that increases or reduces the cost of an object does not modify the cost property of that object. Effects that modify cost are only applied as part of the process for playing or activating that object. (See Rule 5.1.6) Example: An effect that reduces the cost to play a card does not change the cost property of that card in any way - it only changes the calculation of the resource cost when that card is being played.
2.2.4b	An effect that refers to the cost of an object refers to the unmodified cost property of an object. An Effect that refers to the payment of an object, refers to the modified cost of an object when it was paid to play/activate and put that object on the stack.
2.2.5.	The visual expression in {r} symbols and the numerical expression of cost are functionally identical. Example: The text “Search your deck for a card with cost value 1”, is considered to be the same as the text “Search your deck for a card with cost value {r}.”
2.3.	Defense
2.3.1.	Defense is a numeric property of an object, which represents the value contributed to the total sum of defense used in the damage step of combat. (See Section 7.5 - Damage Step)
2.3.2.	The printed defense of a card is typically located at the bottom right corner of a card next to the {d} symbol. The printed defense defines the base defense of a card. If a card does not have a printed defense, it does not have the defense property (0 is a valid printed defense).
2.3.2a	If the defense of a card is represented as a (*), then the card has an ability that defines the defense of the card at any point in or out of the game. If the ability requires a number that can not be determined, the defense of the card is 0.
2.3.3.	The defense of an object can be modified. The term “defense” or the symbol {d} refers to the modified defense of an object.
2.4.	Intellect
2.4.1.	Intellect is a numeric property of a hero card, which represents the number of cards the controlling player draws up to at the end of their turn. (See Section 4.4 - End Phase)
2.4.2.	The printed intellect of a card is typically located at the bottom left corner of a card next to the {i} symbol. The printed intellect defines the base intellect of a card. If a card does not have a printed intellect, it does not have the intellect property (0 is a valid printed intellect).
2.4.3.	The intellect of an object can be modified. The term “intellect” or the symbol {i} refers to the modified intellect of an object.
2.5.	Life
2.5.1.	Life is a numeric property of an object, which represents the starting life total of that object. An object with the life property is a living object.
2.5.2.	The printed life of a card is typically located at the bottom right corner of a card next to the {h} symbol. The printed life defines the base life of a card. If a card does not have a printed life, it does not have the life property (0 is a valid printed life).
2.5.3.	The life of an object can be modified. The term “life total” or the symbol {h} refers to the modified life of an object.
2.5.3a	An object’s life total is equal to the object’s base life, plus life gained and minus life lost, as recorded by the players of the game.
2.5.3b	Life gained and life lost are not continuous effects - they are discrete effects that apply once, and they permanently modify the life total. (See Rule 8.5.8)
2.5.3c	If the base life of an object changes, then the life total is recalculated using the new base life value of the object. Example: Shiyana has 20 base life and the text “[...] Shiyana becomes a copy of target hero [...]”. If Shiyana has lost 5 life and copies the target hero is Kano, with 15 base life, the new life total for Shiyana is 10.
2.5.3d	An object’s life total can be greater than its base life.
2.5.3e	An object can not have a negative life total. If life loss would reduce an object’s life total to less than zero, instead it reduces it to zero.
2.5.3f	If a living object’s life total is reduced to zero, it is cleared as a game state action; or if the living object is a hero, their player loses or the game is a draw as a game state action. (See Rule 1.10.2	and Section 4.5 - Ending a Game)
2.5.3g	If a living object ceases to exist, it is considered to have died.
2.6.	Name
2.6.1.	Name is a property of an object, which represents one of its object identities and determines the object’s uniqueness (along with the pitch property). (See Rule 1.2.4	and Rule 1.3.2)
2.6.2.	The printed name of a card is typically located at the top of the card. The printed name defines the name of a card.
2.6.3.	If an object has a name that is a personal name, that name determines the object’s moniker - the most significant identifier of the object’s name. A personal name is typically written in the format “[HONORIFIC?] [MONIKER] [LAST?] [, SUFFIX?]”, where HONORIFIC (if any) is one or more name honorifics, MONIKER is the moniker of the name, LAST (if any) is one or more middle and/or last names, and SUFFIX (if any) is a title or nickname written after a comma. Example: The monikers of these names are as follows: Bravo (Bravo), Dorinthea Ironsong (Dorinthea), Data Doll MKII (Data Doll), Ser Boltyn, Breaker of Dawn (Boltyn), Blasmophet, the Soul Harvester, (Blasmophet), The Librarian (The Librarian), Dawnblade (Dawnblade), Stalagmite, Bastion of Isenloft (Stalagmite).
2.6.3a	If an object does not have a name that is a personal name, it does not have a moniker.
2.6.3b	If two objects have different names, they may have the same moniker. An effect that refers to an object using a moniker, may refer to two or more objects with different names but the same moniker. Example: The cards “Bravo”, “Bravo, Showstopper”, and “Bravo, Star of the Show”, all have the moniker “Bravo”.
2.6.4.	An object’s printed name is always considered to be the English language version of its name, regardless of the printed language.
2.7.	Pitch
2.7.1.	Pitch is a numeric property of a card, which represents the number of resources the card generates when it is pitched and determines the object’s uniqueness (along with the name property). (See Rule 1.14.2a	and Rule 1.3.2)
2.7.2.	The printed pitch of a card is expressed visually as one, two, or three socketed {r} symbols, typically located in the top left corner of a card, where the number of {r} symbols dictates the printed pitch. The printed pitch defines the base pitch of a card. If a card does not have a printed pitch, it does not have the pitch property.
2.7.3.	The pitch of an object can be modified. The term “pitch” refers to the modified pitch of an object.
2.7.4.	The visual expression in {r} symbols and the numerical expression of pitch are functionally identical. Example: The text “Search your deck for a card with pitch value 1”, is considered to be the same as the text “Search your deck for a card with pitch value {r}.”
2.8.	Power
2.8.1.	Power is a numeric property of an object, which represents the power value used in the damage step of combat. (See Section 7.5 - Damage Step)
2.8.2.	The printed power of a card is typically located at the bottom left corner of a card next to the {p} symbol. The printed power defines the base power of a card. If a card does not have a printed power, it does not have the power property (0 is a valid printed power).
2.8.2a	If the power value of a card is represented as a (*)then the card has an ability that defines the base power of the card at any point in or out of the game. If the ability requires a number that can not be determined, the power of the card is 0.
2.8.3.	The power of an object can be modified. The term “power” or the symbol {p} refers to the modified power of an object.
2.9.	Subtypes
2.9.1.	Subtypes are a collection of subtype keywords.
2.9.2.	An object can have zero or more subtypes.
2.9.3.	The subtypes of a card are determined by its type box. Subtypes (if any) are printed after a long dash after the card’s type.
2.9.4.	The subtypes of an activated-layer or triggered-layer are the same as the subtypes of its source.
2.9.5.	An object can gain or lose subtypes from rules and/or effects.
2.9.6.	Subtypes are either functional or non-functional keywords. Functional subtypes add additional rules to an object. Non-functional subtypes do not add additional rules to an object.
2.9.6a	The functional subtype keywords are (1H), (2H), Affliction, Ally, Arrow, Attack, Aura, Invocation, Item, Landmark, and Trap. (See Section 8.2 - Subtype Keywords)
2.9.6b	The non-functional subtypes keywords are Arms, Ash, Axe, Bow, Chest, Claw, Club, Dagger, Demon, Dragon, Flail, Gem, Gun, Hammer, Head, Legs, Off-hand, Orb, Pistol, Scepter, Scythe, Staff, Sword, and Young.
2.10.	Supertypes
2.10.1.	Supertypes are a collection of supertype keywords.
2.10.2.	An object can have zero or more supertypes.
2.10.3.	The supertypes of a card are determined by its type box. Supertypes are printed before the card’s type.
2.10.4.	The supertypes of an activated-layer or triggered-layer are the same as the supertypes of its source.
2.10.5.	An object can gain or lose supertypes from rules and/or effects.
2.10.6.	Supertypes are non-functional keywords and do not add additional rules to an object. A supertype is either a class or a talent.
2.10.6a	The class supertype keywords are Brute, Guardian, Illusionist, Mechanologist, Merchant, Ninja, Ranger, Runeblade, Shapeshifter, Warrior, and Wizard.
2.10.6b	The talent supertype keywords are Draconic, Earth, Elemental, Ice, Light, Lightning, and Shadow.
2.11.	Text Box
2.11.1.	The text box of a card contains the card text of a card, typically located on the lower half of a card beneath the illustration.
2.11.2.	The card text of a card contains the rules text, reminder text, and flavor text of the card (if any). Rules text is printed in roman and boldface. Reminder text is printed in parenthesized italics. Flavor text is separated vertically from the rules and reminder text (if any) by a horizontal bar and is printed in italics.
2.11.3.	The rules text of a card defines the base abilities of the card. A paragraph of rules text typically defines a single ability. Reminder and flavor text do not affect the game.
2.11.4.	The rules text of a card is always considered to be the official rules text on the most recent English printed version of a card unless a card has received errata. If a card has received a functional errata, it will be announced in this document or in an errata bulletin at http://fabtcg.com/errata. The official card text will be updated to match the errata.
2.11.5.	If rules text specifies the name and/or moniker of its source object in the third person, it can be interpreted “this” refers to its source object and not other cards with the same name, unless it explicitly states otherwise.
2.11.5a	If an ability is otherwise gained by an object, and the rules text that defines that ability includes references to its source object by name/moniker, the gained ability refers to its current source. Example: Fractal Replication has the text “When you play or defend with Fractal Replication, it gains the base abilities of all Illusionist attack action cards on the combat chain.”. If Fractal Replication gains the ability “If Wartune Herald hits, put it into your hero’s soul.” from a card called Wartune Herald, the gained ability now refers to Fractal Replication and can be read as “If Fractal Replication hits, put it into your hero’s soul.”
2.11.6.	If rules text specifies the name and/or moniker of a card that is not its source object, it refers to any object with that name and/or moniker.
2.12.	Type Box
2.12.1.	The type box of a card determines the card’s type, supertype(s) (if any), and subtype(s) (if any), typically located at the bottom of the card. Type boxes are typically written in the format “[SUPERTYPES] [TYPE] [— SUBTYPES?]”, where SUPERTYPES is one or more supertypes, TYPE is a type, and SUBTYPES (if any) is one or more subtypes.
2.12.1a	If the SUPERTYPES of a type box is “Generic”, the card has no supertypes.
2.13.	Types
2.13.1.	An object can have zero or more types.
2.13.2.	The type of a card is determined by its type box. The type is printed after the card’s supertypes, and before a long dash and subtypes (if any).
2.13.3.	The types of an activated-layer or triggered-layer are the same as the types of its source.
2.13.3a	The types of an activated ability layer include the types determined by the activated ability. (See Rule 5.2.1)
2.13.4.	An object can gain or lose types from rules and/or effects.
2.13.5.	Types are functional keywords and add additional rules to an object.
2.13.5a	The type keywords are Action, Attack Reaction, Defense Reaction, Equipment, Hero, Instant, Mentor, Resource, and Weapon. (See Section 8.1 - Type Keywords)
3.	Zones
3.0.	General
3.0.1.	A zone is a collection of objects and has a physical position in the play-space. There are 15 types of zones: arms, arsenal, banished, chest, combat chain, deck, graveyard, hand, head, hero, legs, permanent, pitch, stack, and weapon.
3.0.1a	A zone is considered empty when it does not contain any objects. A zone does not cease to exist if it is empty.
3.0.2.	Each player has their own arms, arsenal, banished, chest, deck, graveyard, hand, head, hero, legs, and pitch zones; and has two weapon zones. The stack zone, permanent zone, and combat chain zone are shared by all players. Note: Cards printed before 2023 have used the phrase “zone you control” which refers to a zone that the player owns.
3.0.3.	A public object is an object where the information about the properties of the object is currently available to all players. A private object is an object where the information about the properties of that object is not currently available to all players.
3.0.3a	A player may look at any private object that is in a zone that they own, except the deck zone.
3.0.4.	Public zones are zones in which the objects in that zone are public. Private zones are zones in which the objects in that zone are private.
3.0.4a	The arms, banished, chest, combat chain, graveyard, head, hero, legs, permanent, pitch, stack, and weapon zones are public zones.
3.0.4b	The arsenal, deck, and hand zones are private zones.
3.0.4c	A public zone can contain a private object, if the object is made private while in that zone, or if the object is moved into that zone as a private object. The private object remains private until a rule or effect makes it public.
3.0.4d	A private zone can contain public objects, if the object is made public while in that zone, or if the object is moved into that zone as a public object. The public object remains public until a rule or effect makes it private.
3.0.5.	The arena is a collection of all the arms, chest, combat chain, head, hero, legs, permanent, and weapon zones.
3.0.5a	The arena is not a zone. If an object would be put into the arena by a rule or effect without specifying a zone, it is placed into the permanent zone as a permanent.
3.0.5b	The arsenal, banished, deck, graveyard, hand, pitch, and stack zones are not part of the arena.
3.0.6.	The position of each player’s zones is shown by Figure 3.1.	Head, chest, arms, and legs zones are on the left; with the head zone directly above, arms zone directly right, and legs zone directly below, the chest zone. Hero, weapon, and arsenal zones are in the center; with the two weapon zones both directly left and right, and the arsenal zone directly below, the hero zone. Graveyard, pitch, deck, and banished zones are on the right; with the graveyard zone directly above, the pitch zone directly left, and the banished zone directly below, the deck zone.
3.0.6a	A player may swap the positions of their zones by mirroring the layout. That is; a player may swap the position of the head and graveyard zones, chest and deck zones, arms and pitch zones, and legs and banished zones.
3.0.6b	A player’s hand zone does not have a specified location; it is instead held by the player.
3.0.6c	The permanent and stack zones do not have a specified location; objects in these zones can be represented anywhere on the game space except any other zone.
3.0.6d	If an additional zone of an existing type and ownership is created by a rule or effect, the zone is positioned adjacent to the existing zones of the same type and ownership.
3.0.7.	When an object moves from one zone to another, the object leaving its old zone (origin) and the object entering its new zone (destination) is performed simultaneously. At no point is the object not in a zone.
3.0.7a	The object as it leaves the origin is considered the object moving for rules and effects. If the object is private when it moves zones, it is considered to have no properties for effects. Example: Levia has the text “While a card with 6 or more {p} has been put into your banished zone this turn, [...]”, which is a while-conditional static effect. If a card is banished and it has 4 {p} as it leaves its origin, but 6 {p} when it enters the banished zone, it does not meet the condition of the effect. If a card is banished and it is private as it leaves its origin, it does not meet the condition of the effect.
3.0.7b	If the origin and the destination of a move are the same, then no move occurs. If the object would go from public to private during the move, it just becomes private instead. If the object would go from private to public during the move, it just becomes public instead.
3.0.8.	If a private object will move zones and be public at the destination, it becomes public before it is moved. If a public object will move zones and be private at the destination, it becomes private before it is moved. Example: Azalea’s activated ability puts a card from the deck (private object) into the arsenal face up (public object in a private zone), therefore it becomes public before it is moved. Example: Intimidate puts a card from hand (private object) into the banished zone face down (private object in a public zone), therefore it does not become public before it is moved.
3.0.8a	If the destination of an object is replaced after the object becomes public, then Rule 3.0.8	is re- evaluated based on whether it will be a public or private object at the new destination. Example: Drone of Brutality has the text “If Drone of Brutality would be put into your graveyard from anywhere, instead put it on the bottom of your deck.”. If Drone of Brutality is discarded (from the private hand zone to the public graveyard zone), the card first becomes a public object, then the replacement effect replaces the destination to be the deck (a private zone), the card becomes a private object, and finally, the cards are moved to the bottom of the deck.
3.0.9.	If an object that enters a zone that is not in the arena and is not the stack zone, or a public object becomes a private object, it becomes a new object and has no relation to its previous existence. Example: Endless Arrow is played and during the reaction step, Snapdragon Scalers is activated to give it “go again”. Endless Arrow hits and returns to the player’s hand (a zone outside the arena) and therefore becomes a new object. If the player plays Endless Arrow again it will not have “go again” because it is a new Endless Arrow card with no relation to its previous existence.
3.0.9a	An ability that triggers when an object moves from one zone to another still references the new object, as long as the object remains a  public object. Example: Merciful Retribution has the text “Whenever an aura or attack action card you control is destroyed, [...] If it’s a non-token Light card, put it into your hero’s soul.”. If a non-token Light card in the arena is destroyed, it moves to the graveyard and becomes a new object. However, because Merciful Retribution triggers on the object moving to the graveyard (as part of its destruction) it still references the new object it becomes in that zone for the triggered-layer it produces. If the non-token Light card moves to another zone or becomes private before the layer resolves, the triggered-layer loses that reference.
3.0.9b	An ability with an effect that moves an object from one zone to another still references the new object for the remainder of any effects it generates, as long as the object remains a public object. Example: Bull’s Eye Bracers has the text “If you have no cards in your arsenal, you may put an arrow card from your hand face up into your arsenal. If gains +1{p} until end of turn.”. If an arrow card is put into the arsenal, it becomes a new object. However, because the activated ability of Bull’s Eye Bracers was the source of the effect that moved the arrow card, the rest of the effec
3.0.10.	Zones of the same type are independent of their creation method. If a rule or effect creates a zone of same type as an existing zone, the created zone is not distinguishable as being created by that rule or effect - only that there is now an additional zone of that type.
3.0.10a	If a rule or effect moves an object into a specified type of zone, and there are two or more zones that match the specified type, the player that owns the object chooses which zone that object is moved to.
3.0.10b	If the zone of a player ceases to exist, and there is only one of that type of zone owned by the player, any cards in that zone are cleared and the zone ceases to exist.
3.0.10c	If the zone of a player ceases to exist, and there are two or more of that type of zone owned by the player, an empty zone of that type owned by the player ceases to exist. If there are no zones of that type owned by the player that are empty, the player chooses which zone will cease to exist - any cards in that zone are cleared and the zone ceases to exist.
3.0.11.	If a rule will move an object to a zone that does not exist, or the zone can not contain that object, the object is moved to the graveyard instead. If an effect would move an object to a zone that does not exist, or the zone can not contain that object, that effect simply fails.
3.0.12.	To clear an object, move it from its current zone to its owner’s graveyard.
3.0.12a	If the object is a token or a non-card-layer, it leaves its current zone and simply ceases to exist.
3.0.13.	If an effect refers to one or more zones without specifying the owner of those zones (or specifying “any”), it refers to the zones owned by the controller of the effect.
3.0.14.	A sub-object is a card or token that is under a permanent. A top-object is the permanent the sub-object is underneath.
3.0.14a	A card or token is only considered to be under a permanent if specified by an effect.
3.0.14b	A sub-object is not considered to be in the arena, even if its top-object is in the arena.
3.0.14c	If a top-object moves zones and remains the same object, its subobjects move to the same zone as part of the same event and remain subobjects.
3.0.14d	If the top-object is public, all sub-objects are also public. If a top-object is private, all sub-objects are also private. Figure 3.1: The official layout of a player’s zones from the perspective of the player looking down. The combat chain zone is shared by all players. A player’s hand zone is held by the player. The permanent and stack zones do not have a specified location.
3.0.14e	If a top-object ceases to exist, its sub-objects are cleared as part of the same event. (See Rule 3.0.12)
3.1.	Arms
3.1.1.	An arms zone is a public zone in the arena, owned by a player.
3.1.2.	An arms zone can only contain up to one object, with the subtype arms.
3.1.3.	A player may start the game with a card (with the subtype arms) as a permanent in their arms zone. (See Section 4.1 - Starting a Game)
3.2.	Arsenal
3.2.1.	An arsenal zone is a private zone outside the arena, owned by a player.
3.2.2.	An arsenal zone can only contain up to one card, that started in the owner’s starting deck.
3.2.2a	If an effect would put a card into an arsenal zone that is not empty, or into the arsenal and there are no empty arsenal zones, that effect fails.
3.2.3.	The term “arsenal” refers to all arsenal zones owned by a player and the cards in those zones.
3.2.3a	A player’s arsenal is considered empty if all of their arsenal zones are empty.
3.2.3b	If a rule or effect would specify a card to move into a player’s arsenal, it is moved into one of their empty arsenal zones.
3.2.4.	Cards in an arsenal zone may be played. (See Section 5.1 - Playing Cards)
3.3.	Banished
3.3.1.	A banished zone is a public zone outside the arena, owned by a player.
3.3.2.	A banished zone can only contain its owner’s cards.
3.4.	Chest
3.4.1.	A chest zone is a public zone in the arena, owned by a player.
3.4.2.	A chest zone can only contain up to one object, with subtype chest.
3.4.3.	A player may start the game with a card (with the subtype chest) as a permanent in their chest zone. (See Section 4.1 - Starting a Game)
3.5.	Combat Chain
3.5.1.	The combat chain zone is a public zone in the arena. There is only one combat chain zone, shared by all players, and it does not have an owner.
3.5.2.	The term “combat chain” refers to the combat chain zone.
3.5.3.	The combat chain is “open” during combat - otherwise it is “closed”. (See Chapter 7 - Combat)
3.5.4.	A chain link is an element of a sequence of attacks on the combat chain. A chain link is represented by an attack. A combat chain has zero or more chain links.
3.5.4a	If an attack is added onto the combat chain as a chain link, it becomes chain link N + 1, where N is the number of existing chain links on the combat chain. Chain link N (if any) becomes the “previous chain link” and chain link N + 1 becomes the “current chain link”, until the combat chain closes.
3.5.4b	If an attack that represents a chain link ceases to exist, or ceases to represent the chain link, the chain link itself continues to exist, and rules and effects use the last known information about the attack. (See Rule 1.2.5) Example: If a Dawnblade represents chain link 1 as an attack on the combat chain, and then is attacked with again and becomes chain link 2 on the same combat chain; the Dawnblade ceases to represent chain link 1 but it will continue to exist and Last Known information about the Dawnblade as an attack are used for rules and effects that specifically refer to that chain link or attack.
3.5.4c	A chain link and objects on a chain link are considered to be in the arena. Abilities of a chain link and objects on a chain link are typically considered functional with the exception of non-permanent defending objects (see Rule 1.7.5	and Rule 3.5.4d).
3.5.4d	Defending objects are objects that are designated to be defending by a rule or effect (see Rule 7.3.2	and Rule 7.4.2d). Defending objects on a chain link are considered to be defending that chain link until they leave the combat chain. Defending objects are placed on the chain link of the attack they are defending and remain there until the combat chain closes.
3.5.4e	The controller of a chain link is the same as the attack that represents it.
3.5.4f	The owner of a chain link is the same as the attack that represents it.
3.6.	Deck
3.6.1.	A deck zone is a private zone outside the arena, owned by a player.
3.6.2.	A deck zone can only contain cards that started in the owner’s starting deck.
3.6.3.	The term “deck” refers to the deck zone.
3.6.4.	A player can not look at objects in their own deck zone unless specified by a rule or effect. 3.6.5.	Objects in the deck zone are placed face down in an ordered uniform pile.
3.6.6.	A player’s starting deck starts the game in their deck zone. (See Section 4.1 - Starting a Game)
3.7.	Graveyard
3.7.1.	A graveyard zone is a public zone outside the arena, owned by a player.
3.7.2.	A graveyard zone can only contain its owner’s cards.
3.7.3.	The term “graveyard” refers to the graveyard zone.
3.8.	Hand
3.8.1.	A hand zone is a private zone outside the arena, owned by a player.
3.8.2.	A hand zone can only contain cards that started in the owner’s starting deck.
3.8.3.	The term “hand” refers to the hand zone.
3.9.	Head
3.9.1.	A head zone is a public zone in the arena, owned by a player.
3.9.2.	A head zone can only contain up to one object, with subtype head.
3.9.3.	A player may start the game with a card (with the subtype head) as a permanent in their head zone. (See Section 4.1 - Starting a Game)
3.10.	Hero
3.10.1.	A hero zone is a public zone in the arena, owned by a player.
3.10.2.	A hero zone can only contain one card, with the type hero, and zero or more cards in the hero’s soul.
3.10.3.	The term “hero” refers to the card with the type hero in the hero zone.
3.10.4.	A player must start the game with their hero card in their hero zone. (See Section 4.1 - Starting a Game)
3.10.5.	A hero’s soul refers the sub-cards under the hero card. (See Rule 3.0.14)
3.11.	Legs
3.11.1.	A legs zone is a public zone in the arena, owned by a player.
3.11.2.	A legs zone can only contain one object, with subtype legs.
3.11.3.	A player may start the game with a card (with the subtype legs) as a permanent in their legs zone. (See Section 4.1 - Starting a Game)
3.12.	Permanent
3.12.1.	The permanent zone is a public zone in the arena. There is only one permanent zone, shared by all players, and it does not have an owner.
3.12.2.	The permanent zone can only contain permanents.
3.13.	Pitch
3.13.1.	A pitch zone is a public zone outside the arena, owned by a player.
3.13.2.	A pitch zone can only contain cards that started in the owner’s starting deck.
3.14.	Stack
3.14.1.	The stack zone is a public zone outside the arena. There is only one stack zone, shared by all players, and it does not have an owner.
3.14.2.	The term “stack” refers to the stack zone.
3.14.3.	The stack contains an ordered collection of layers. (See Section 1.6 - Layers)
3.14.4.	When a layer is added onto the stack, it becomes layer N + 1 where N is the number of existing layers on the stack.
3.14.5.	The top layer of the stack is layer N , with the highest value of N .
3.14.6.	When a layer N is removed from the stack by a rule or effect, any layer M where M > N becomes layer M − 1. Example: There are 4 layers on the stack. Layer 2 is an instant card and is removed by a “negate” effect. Layer 3 becomes layer 2, and layer 4 becomes layer 3, while layer 1 remains unchanged.
3.15.	Weapon
3.15.1.	A weapon zone is a public zone in the arena, owned by a player.
3.15.2.	A weapon zone can only contain one object, with type weapon or the subtype off-hand.
3.15.2a	The subtype (2H) occupies an additional weapon zone. (See Rule 8.2.2)
3.15.3.	A player may start the game with a card (with the type weapon or subtype off-hand) as a permanent in each of their weapon zones. (See Section 4.1 - Starting a Game)
4.	Game Structure
4.0.	General
4.0.1.	A game of Flesh and Blood starts with the players executing the start of game procedure and ends when a player wins, or the game is a draw. (See Section 4.1 - Starting a Game and Section 4.5 - Ending a Game)
4.0.2.	A match consists of one or more consecutive games between the same players with the same decks.
4.0.3.	A turn is a game state concept that structures the order of play and phases.
4.0.3a	A turn consists of 3 phases in order: Start Phase, Action Phase, and End Phase.
4.0.3b	Only one player can have a turn at any point in time. A player whose turn it is is the “turn player”. A player whose turn it is not is a “non-turn player”.
4.1.	Starting a Game
4.1.1.	The process of starting a game is referred to as the “Start of Game Procedure”
4.1.2.	First, each player places their hero card face up in their hero zone.
4.1.3.	Second, a player is selected and chooses the first turn player. If it is the first game of a match, one of the players is selected using a random method that is mutually agreeable. If it is not the first game of a match, the player who lost first in the previous game of the match is the selected player; or if the previous game ended in a draw, the selected player is the same as in the previous game. The select player then chooses any player to be the first turn player.
4.1.4.	Third, each player selects equipment and/or weapon cards from their deck that they will start the game with.
4.1.4a	A player may select up to one card for each of their arms, chest, head, legs, and weapon zones. Each card will start the game in their respective zone, based on their type and/or subtype.
4.1.4b	Cards selected this way are placed face down in their respective zones or in a single face down pile next to the hero.
4.1.5.	Fourth, each player selects the cards from their deck that will become their starting deck.
4.1.5a	Equipment and weapon cards can not be included in a player’s starting deck.
4.1.5b	If a meta-static ability effect allows the player to start the game with one or more cards in a zone other than the deck zone, these cards are selected from their starting deck and placed face down in their respective zones or in the single face down pile next to the hero. The cards selected this way are still considered part of the player’s starting deck. Example: Dash has the text “You may start the game with a Mechanologist item with cost {r}{r} or less in the arena.”, which means if the game format requires a starting deck of 40 cards, the player may select the specified from those 40 cards, and start the game with 1 card in the arena and 39 cards in their deck zone.
4.1.6.	Fifth, all other cards that are not selected from a player’s deck during Rule 4.1.4	or Rule 4.1.5	become that player’s sideboard.
4.1.6a	An sideboard is a defined collection of cards - it is not a zone.
4.1.6b	An sideboard is private to each player. Players may look at their own sideboard during a game and are not required to show any other player.
4.1.7.	Sixth, each player shuffles and presents their starting deck to an opponent to be shuffled and/or cut. 4.1.7a	After a player has presented their starting deck to be shuffled and/or cut, it is placed in their deck zone and they may no longer change any cards they have chosen in Rule 4.1.4	and Rule 4.1.5.	4.1.7b	A starting deck is private to each player. The opponent may not look at the information of the cards in a deck presented to them.
4.1.8.	Seventh, each player reveals their weapons, equipment, and any other cards that start the game in a zone other than the deck zone, and places them face up in their respective zones.
4.1.9.	Eighth and finally, each player draws cards up to their hero’s intellect and the first turn player begins their Start Phase.
4.2.	Start Phase
4.2.1.	Players do not get priority during the Start Phase.
4.2.2.	First, the turn starts. Effects that last until the “start of turn” end. The “start of turn” event occurs and abilities that trigger at the start of turn are triggered. Layers on the stack resolve and additional triggered-layers are added as if all players are passing priority in succession.
4.2.3.	Second and finally, when the stack is empty, the Start Phase ends and the game proceeds to the action phase.
4.3.	Action Phase
4.3.1.	First, the action phase starts. The “beginning of the action phase” event occurs and abilities that trigger at the beginning of the action phase are triggered.
4.3.2.	Second, the turn player has 1 action point.
4.3.2a	Abilities that trigger when a player gains an action point do not trigger when the turn player gains an action point this way.
4.3.2b	Replacement effects that modify events when a player gains an action point do not modify or replace when the turn player gains an action point this way.
4.3.3.	Third, the turn player gains priority.
4.3.4.	Fourth and finally, when the stack is empty, the combat chain is closed, and both players pass priority in succession, the action phase ends and the game proceeds to the End Phase.
4.4.	End Phase
4.4.1.	Players do not get priority during the End Phase.
